,Code_(CPT/DRG),Description,Rev_Code,Inpatient/Outpatient,Gross_Charges,Discounted_Cash_Price,Aetna,Cigna,Empire_Blue_Cross_Blue_Shield,Emblem_Health,United_Health_Group,Aetna_Medicare,AgeWell_Medicare,Emblem_Medicare,Empire_Medicare,Fidelis_Medicare,Healthfirst_Medicare,UHC_Community_Plan/United_Medicare,VNS_Medicare,WellCare_Medicare,1199,Affinity_Molina_Essential,Affinity_Molina_Medicaid/CHP,Amida_Care_Medicaid,Emblem_Medicaid/CHP,Empire_Healthplus_Essential,Empire_Healthplus_Exchange,Empire_Healthplus_Medicaid/CHP,Fidelis_Essential/Exchange,Fidelis_Medicaid/CHP,Healthfirst_Essential/Exchange,Healthfirst_Medicaid/CHP,MVP_Medicaid/CHP,MVP_Essential,United_Community_Plan_Essential,United_Community_Plan_Medicaid,VNS_Medicaid,Consumer_Health_Network,Devon,Equian,First_Health,Magnacare,Multiplan/Beechstreet/PHCS,QHM,Worldwide,Minimum_Negotiated_Charge,Maximum_Negotiated_Charge
0,96360,HC IV INFUSION HYDRATION INITIAL 31 MIN-1HR,0260,Inpatient/Outpatient,866.0,866.0,641.706,494.486,640.84,1388.424,260.25,253.04825,316.3103125,253.04825,253.04825,253.04825,260.6396975,255.5787325,260.6396975,261.90493875,433,773.1477801568,343.6212356252,395.164420969,395.164420969,773.1477801568,859.0530890631,343.6212356252,859.0530890631,343.6212356252,519.6,360.8022974065,343.6212356252,412.3454827503,481.0697298753,343.6212356252,343.6212356252,393.5104,393.5104,393.5104,393.5104,393.5104,393.5104,393.5104,393.5104,253.04825,1388.424
1,96361,HC IV INFUSION HYDRATION FLUIDS ADDL HR,0260,Inpatient/Outpatient,358.0,358.0,265.278,204.418,264.92,1305.112,102.2262,51.90325,64.8790625,51.90325,51.90325,51.90325,53.4603475,52.4222825,53.4603475,53.71986375,179,1791.8022064962,796.3565362205,915.8100166536,915.8100166536,1791.8022064962,1990.8913405513,796.3565362205,1990.8913405513,796.3565362205,214.8,836.1743630316,796.3565362205,955.6278434646,1114.8991507087,796.3565362205,796.3565362205,162.6752,162.6752,162.6752,162.6752,162.6752,162.6752,162.6752,162.6752,51.90325,1990.8913405513
2,96365,HC IV INFUSION FOR THER/PROPH/DIAG INITIAL UP TO 1HR,0260,Inpatient/Outpatient,1397.0,1397.0,1035.177,797.687,1033.78,1475.508,518.9732,253.04825,316.3103125,253.04825,253.04825,253.04825,260.6396975,255.5787325,260.6396975,261.90493875,698.5,773.1477801568,343.6212356252,395.164420969,395.164420969,773.1477801568,859.0530890631,343.6212356252,859.0530890631,343.6212356252,838.2,360.8022974065,343.6212356252,412.3454827503,481.0697298753,343.6212356252,343.6212356252,634.7968,634.7968,634.7968,634.7968,634.7968,634.7968,634.7968,634.7968,253.04825,1475.508
3,96367,HC IV INF THER/PROPH/DIAG ADDL SEQ NEW DRUG UP TO 1HR,0260,Inpatient/Outpatient,480.0,480.0,355.68,274.08,355.2,1325.12,229.7834,82.65075,103.3134375,82.65075,82.65075,82.65075,85.1302725,83.4772575,85.1302725,85.54352625,240,773.1477801568,343.6212356252,395.164420969,395.164420969,773.1477801568,859.0530890631,343.6212356252,859.0530890631,343.6212356252,288,360.8022974065,343.6212356252,412.3454827503,481.0697298753,343.6212356252,343.6212356252,218.112,218.112,218.112,218.112,218.112,218.112,218.112,218.112,82.65075,1325.12
4,96368,HC IV INFUSION FOR THER/PROPH/DIAG CONCURRENT,0260,Inpatient/Outpatient,480.0,480.0,355.68,274.08,355.2,1325.12,156.9828,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,240,773.1477801568,343.6212356252,395.164420969,395.164420969,773.1477801568,859.0530890631,343.6212356252,859.0530890631,343.6212356252,288,360.8022974065,343.6212356252,412.3454827503,481.0697298753,343.6212356252,343.6212356252,218.112,218.112,218.112,218.112,218.112,218.112,218.112,218.112,156.9828,1325.12
5,96369,HC NON-CHEMO SC INFUSION 1 HR,0260,Inpatient/Outpatient,780.0,780.0,577.98,445.38,577.2,1374.32,1135.6616,253.04825,316.3103125,253.04825,253.04825,253.04825,260.6396975,255.5787325,260.6396975,261.90493875,390,773.1477801568,343.6212356252,395.164420969,395.164420969,773.1477801568,859.0530890631,343.6212356252,859.0530890631,343.6212356252,468,360.8022974065,343.6212356252,412.3454827503,481.0697298753,343.6212356252,343.6212356252,354.432,354.432,354.432,354.432,354.432,354.432,354.432,354.432,253.04825,1374.32
6,96370,HC NON-CHEMO SC INFUSION EACH ADDL HR,0260,Inpatient/Outpatient,480.0,480.0,355.68,274.08,355.2,1325.12,121.3806,51.90325,64.8790625,51.90325,51.90325,51.90325,53.4603475,52.4222825,53.4603475,53.71986375,240,1791.8022064962,796.3565362205,915.8100166536,915.8100166536,1791.8022064962,1990.8913405513,796.3565362205,1990.8913405513,796.3565362205,288,836.1743630316,796.3565362205,955.6278434646,1114.8991507087,796.3565362205,796.3565362205,218.112,218.112,218.112,218.112,218.112,218.112,218.112,218.112,51.90325,1990.8913405513
7,96375,HC THERAPEUTIC/PROPH/DIAG INJ IV PUSH ADDL SEQ,0260,Inpatient/Outpatient,602.0,602.0,446.082,343.742,445.48,1345.128,123.6708,51.90325,64.8790625,51.90325,51.90325,51.90325,53.4603475,52.4222825,53.4603475,53.71986375,301,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,273.5488,273.5488,273.5488,273.5488,273.5488,273.5488,273.5488,273.5488,51.90325,1345.128
8,96376,HC THERAPEUTIC/PROPH/DIAG INJ IV PUSH SAME,0260,Inpatient/Outpatient,357.0,357.0,264.537,203.847,264.18,1304.948,285.6,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,178.5,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,Not separately payable,162.2208,162.2208,162.2208,162.2208,162.2208,162.2208,162.2208,162.2208,162.2208,1304.948
9,96377,HC APPLICATION OF BODY INJECTOR,0260,Inpatient/Outpatient,510.0,510.0,377.91,291.21,377.4,1330.04,146.1564,51.90325,64.8790625,51.90325,51.90325,51.90325,53.4603475,52.4222825,53.4603475,53.71986375,255,249.278328,110.790368,127.4089232,127.4089232,249.278328,276.97592,110.790368,276.97592,110.790368,306,116.3298864,110.790368,132.9484416,155.1065152,110.790368,110.790368,231.744,231.744,231.744,231.744,231.744,231.744,231.744,231.744,51.90325,1330.04
